location,spot_id,lat,lon
Steamer Lane,163,36.9512,-122.025
Exmouth,164,50.61,-3.41
Sidmouth (Lyme Bay),165,50.6756,-3.2368
Perranporth (Droskyn),166,50.3492,-5.1602
Vazon Bay - Beach - Guernsey,167,49.4696,-2.6086
Meñakoz,168,43.3976,-2.9871
Mundaka,169,43.4089,-2.695
Orrua,170,43.3043,-2.2402
Zurriola,171,43.3272,-1.9768
Playa de Meron,172,43.3929,-4.3793
Los Locos,173,43.4393,-4.0477
Playa de Somo,174,43.4578,-3.7425
El Brusco,175,43.4701,-3.4843
Tapia de Casariego,176,43.5676,-6.9494
Salinas y Espartal,177,43.5824,-5.9541
Rodiles,178,43.5357,-5.3847
Patos,179,42.1562,-8.8254
Playa de Traba,180,43.189,-9.0525
Campelo,181,43.5829,-8.2207
Foz,182,43.5742,-7.2382
Barbate,183,36.1781,-5.9104
Cadiz,184,36.5205,-6.2876
Los Caños,186,36.1819,-6.0108
Afife,187,41.7754,-8.875
Viana do Castelo,188,41.6776,-8.8357
Aguçadoura,189,41.4291,-8.7868
Leça,190,41.1896,-8.7089
Espinho,191,41.0084,-8.6502
Praia de Mira,192,40.4561,-8.806
Cabedelo,193,40.14,-8.866
Nazaré,194,39.605,-9.0872
Lagide,195,39.3755,-9.336
Supertubos,196,39.3455,-9.365
Ericeira,198,38.959,-9.417
Praia do Guincho,199,38.7348,-9.4754
Lisbon/Estoril,200,38.7015,-9.4079
Malhão,202,37.7833,-8.8048
Playa de Janubio,204,28.975,-13.8386
Playa de La Canteria,205,29.2252,-13.4622
Jameos del Agua,206,29.1538,-13.43
La Santa,207,29.11,-13.6673
Ghost Town,208,29.1183,-13.6311
Playa de Famara,209,29.1173,-13.5538
Playa de la Pared,210,28.2146,-14.225
Las Salinas,211,28.0748,-14.4663
East Coast,212,28.32,-13.88
Bristol,213,28.7476,-13.8722
Bajo del Medio,214,28.7355,-13.8576
Vagabundo,215,28.1456,-15.5991
Arguineguin,216,27.761,-15.6866
Los Enanos,217,28.1474,-15.5508
La Cicer,218,28.1311,-15.4484
El Confital,219,28.1578,-15.4352
La Izquierda del Muelle,220,27.8453,-15.392
Derecha del Faro,221,27.7338,-15.5985
La Fitenia,222,28.0552,-16.7385
La Izquierda / Spanish Left,223,28.0623,-16.7357
Punta Blanca - K16,224,28.2129,-16.8391
Playa del Socorro,225,28.3948,-16.6028
Los dos Hermanos,226,28.5727,-16.3143
Eland's bay,227,-32.3136,18.3307
Stillbay,228,-34.386,21.4314
Victoria Bay,229,-34.0069,22.5498
Buffels Bay,230,-34.0849,22.9766
Coffee Bay,231,-31.9826,29.1547
Mzimpuni,232,-31.4846,29.7231
Briech,244,35.5338,-6.0104
Mehdya Plage,245,34.2595,-6.6818
Rabat,246,34.0328,-6.8415
Oued Cherrat,247,33.8303,-7.1308
Dar Bouazza,248,33.5371,-7.8202
Jack Beach,249,33.5093,-7.8848
El Oualidia,250,32.7417,-9.0427
Safi,251,32.3198,-9.2583
Boilers,252,30.6238,-9.8764
Agadir,254,30.4078,-9.6064
Ocean Beach,255,37.7553,-122.517
Davenport Landing,256,37.0233,-122.216
Four Mile,257,36.9647,-122.125
Manresa Beach,258,36.9318,-121.864
Moss Landing,259,36.8113,-121.793
Andrew Molera State Park,260,36.2803,-121.859
Cambria,261,35.5802,-121.121
Morro Bay,262,35.376,-120.866
Shell Beach,263,35.171,-120.704
Oceano/Pismo,264,35.1053,-120.634
Jalama Beach County Park,265,34.5091,-120.503
The Ranch - Cojo Reef,266,34.4489,-120.434
Beavers/Hazards,267,34.4615,-120.054
Sands Beach,268,34.408,-119.882
